Pays;Annee;actu_moyenne;actu_top3;consulat_moyenne;consulat_top3;guides_moyenne;guides_top3;loisirs_moyenne;loisirs_top3;politique_moyenne;politique_top3;religion_moyenne;religion_top3;reservations_moyenne;reservations_top3;sante_moyenne;sante_top3;stats_moyenne;stats_top3;tourisme_moyenne;tourisme_top3
Sénégal;2019;-0,389376371;1,66848298;0,003136797;0,050920325;-0,028213219;0,02228383;-0,005678687;0,003646681;0,087128428;0,657801004;0,003054149;0,138089657;-0,010355333;0,035566353;-0,00042235;0,142984546;-0,041564558;0,547196329;-0,225120402;2,07836893
Sainte-Lucie;2005;0,123255474;2,214084622;-0,001297962;0,025622176;0,041470785;0,579562751;-0,004228374;0,009905728;-0,233362754;0,037047054;-0,004837846;0,069958639;0,070488926;0,625266356;-0,01060673;0,038377294;-0,04501605;1,324773687;0,2774998;2,152149709
Sainte-Lucie;2010;0,97023923;2,373063158;-0,001213424;0,018147284;0,073127823;0,806849443;0,022121664;0,256856401;-0,352863788;-0,158616045;-0,013855653;0,00778964;0,021525093;0,245890431;-0,013699652;0,014329084;-0,145027429;0,065340958;1,07926235;2,602112045
Sainte-Lucie;2015;1,026133099;2,402215491;-0,003290044;0,01261835;0,042610638;0,570099396;-0,005173564;0,008740522;-0,314572192;0,229493034;-0,014755363;0,004914444;0,02071794;0,252520394;-0,009368571;0,051568558;-0,166481304;-0,123863389;1,266910326;2,70665043
Sainte-Lucie;2019;0,112774116;1,909966364;0,003068862;0,052089953;0,037087068;0,476001975;-0,006423052;-0,003533689;-0,225535892;0,111679453;-0,006733284;0,0186647;-0,009905828;0,034162468;0,011570907;0,21748147;-0,064265061;0,62969002;0,302387956;2,161437717
Saint-Kitts-et-Nevis;2005;0,151409094;1,786062241;-0,000209508;0,022815748;-0,033544458;-0,01818103;0,008270134;0,201958743;-0,061534845;0,650783913;-0,007995902;0,066108135;-0,012856088;0,023203121;-0,006212281;0,069050871;0,196709608;1,567408283;-0,366324396;1,411483492
Saint-Kitts-et-Nevis;2010;0,039528057;1,629414304;-2,4505E-06;0,016158048;0,016783666;0,357616443;-0,005116431;0,000283543;-0,137779906;0,541086085;-0,017135548;-0,004917039;0,032137222;0,276965226;-0,009364167;0,04632782;0,153078191;1,032623296;0,070149977;1,86301119
Saint-Kitts-et-Nevis;2015;0,58054786;1,792859549;-0,002364427;0,009409923;-0,014248269;0,07946357;-0,000144609;0,043205123;-0,297603049;0,280196448;-0,018062725;-0,010293789;0,043719759;0,291336079;-0,010016777;0,028545949;-0,113774226;0,280912622;0,874378127;2,120189554
Saint-Kitts-et-Nevis;2019;0,262542909;1,86860302;0,01096109;0,093966076;-0,015170214;0,081709691;-0,003388402;0,023846545;-0,208641417;0,3272126;-0,015693952;0,004954319;0,03228136;0,274639278;0,05627321;0,66885535;-0,020504857;1,031569065;0,325002891;2,022587206
Saint-Marin;2005;-0,271673694;1,732305899;-0,001294222;0,026372127;-0,0182215;0,186903888;-0,000895432;0,02921164;-0,14183222;0,626942709;-0,009623361;0,01863558;-0,001822396;0,061501625;-0,006663496;0,068329969;-0,015302102;0,700256334;-0,257882507;1,920991318
Saint-Marin;2010;0,150521202;1,926287751;-0,001795251;0,01301059;-0,015537659;0,071269272;-0,000363658;0,024414396;-0,235995586;0,40914737;-0,011806938;0,012255377;0,002553145;0,091384463;-0,012464713;0,000934122;-0,044530755;0,426907413;0,172092212;1,949926153
Saint-Marin;2015;0,151325583;1,18571427;-0,003359835;0,003261494;-0,014889879;0,104984727;0,020838009;0,221430898;-0,309484038;0,075873541;-0,016274715;-0,001862151;0,039165576;0,257102497;0,041027704;0,43364918;-0,120557173;0,23162262;0,323591345;1,538209214
Saint-Marin;2019;-0,207700574;1,919776143;0,004194456;0,073348139;0,010347504;0,323426125;0,032279304;0,294353694;-0,234371591;0,453156054;-0,016192384;0,004443311;0,026025396;0,267463114;0,035276773;0,419695836;0,048419173;1,493790613;-0,162511116;2,219369716
Saint-Vincent-et-les-Grenadines;2005;0,615841602;2,173756979;-0,001486492;0,030504679;-0,029113943;-0,002605728;0,007640202;0,201958743;-0,216201242;0,316463123;-0,014088782;0,017467863;-0,008628607;0,045053536;-3,57385E-05;0,20889621;0,260015645;1,688679476;0,089879848;2,248194981
Saint-Vincent-et-les-Grenadines;2010;1,077670043;2,363035833;-0,003183313;0,007173717;0,067484582;0,692662686;-0,000766829;0,03138737;-0,340546087;-0,034640792;-0,016311256;0,001328579;0,002665976;0,103342369;-0,011965424;0,010586147;-0,050389304;0,691883044;1,17521209;2,413403968
Saint-Vincent-et-les-Grenadines;2015;1,110261182;2,285828318;-0,004403595;0,005713066;0,037025346;0,483582756;-0,000872143;0,035073997;-0,37489723;-0,167736876;-0,017625918;-0,00544304;0,03656164;0,294599378;-0,012951872;0,01101106;-0,154375683;-0,044026123;1,31225238;2,499361801
Saint-Vincent-et-les-Grenadines;2019;0,657946076;2,172222064;0,00746272;0,083508674;0,100762832;1,09653052;-0,00330735;0,025787898;-0,306040949;0,32660461;-0,018791899;-0,002815164;0,057822784;0,401564321;0,053519219;0,64639397;-0,023103879;1,066027101;0,801475492;2,318794162
Salomon;2005;-0,53840557;1,147856307;-0,004199401;0,008774073;-0,02266053;0,020809977;-0,005247269;0,004246341;-0,060930903;0,506388426;-0,00494691;0,041749641;-0,009918756;0,052482629;-0,01204335;0,056393893;-0,078645943;0,231591583;-0,478066548;0,669732591
Salomon;2010;0,031786112;1,474831226;-0,003666425;0,005198087;-0,021297807;0,030440109;0,000877622;0,04733005;-0,30902707;-0,028844;-0,014713678;0,014911845;0,003066459;0,055113194;-0,010668506;0,025392353;-0,131859372;0,041823796;0,136850723;1,275679852
