,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
5135,Azerbaïdjan,2015,stats,-0.03312772298988523,-0.06736048771311623,0.06452418302500387,0.26527081102263167
5136,Bahamas,2015,stats,-0.13618826515843463,-0.06736048771311623,0.06452418302500387,-0.533348693610323
5137,Bahreïn,2015,stats,-0.06528793939688986,-0.06736048771311623,0.06452418302500387,0.016060244539812578
5138,Bangladesh,2015,stats,-0.06919945308210165,-0.06736048771311623,0.06452418302500387,-0.014250202658690021
5139,Barbade,2015,stats,-0.1456721809626481,-0.06736048771311623,0.06452418302500387,-0.606839866683668
5140,Belgique,2015,stats,-0.06235293565837288,-0.06736048771311623,0.06452418302500387,0.03880368429308793
5141,Belize,2015,stats,-0.152392926878733,-0.06736048771311623,0.06452418302500387,-0.6589191461181747
5142,Bhoutan,2015,stats,-0.09115786630900029,-0.06736048771311623,0.06452418302500387,-0.18440666336420172
5143,Birmanie,2015,stats,-0.08850315085575883,-0.06736048771311623,0.06452418302500387,-0.1638351866807021
5144,Biélorussie,2015,stats,-0.004670970636646017,-0.06736048771311623,0.06452418302500387,0.4857831136907018
5145,Bolivie,2015,stats,-0.09235597179969243,-0.06736048771311623,0.06452418302500387,-0.19369082191160916
5146,Bosnie-Herzégovine,2015,stats,0.04346110431993353,-0.06736048771311623,0.06452418302500387,0.858760133313932
5147,Botswana,2015,stats,-0.14449606454113922,-0.06736048771311623,0.06452418302500387,-0.5977261021509722
5148,Brunei,2015,stats,-0.04674239150636386,-0.06736048771311623,0.06452418302500387,0.15977030037530746
5149,Brésil,2015,stats,0.007751485934763341,-0.06736048771311623,0.06452418302500387,0.5820451350679853
5150,Bulgarie,2015,stats,-0.06420928225006393,-0.06736048771311623,0.06452418302500387,0.0244187939724178
5151,Burkina Faso,2015,stats,0.051275690896257116,-0.06736048771311623,0.06452418302500387,0.9193156197219919
5152,Burundi,2015,stats,-0.09054658936613319,-0.06736048771311623,0.06452418302500387,-0.1796698583849723
5153,Bénin,2015,stats,0.04204464406212081,-0.06736048771311623,0.06452418302500387,0.8477839365501246
5154,Cambodge,2015,stats,-0.11263631230924999,-0.06736048771311623,0.06452418302500387,-0.35084384236673594
5155,Cameroun,2015,stats,-0.033158659595611546,-0.06736048771311623,0.06452418302500387,0.26503108225524585
5156,Canada,2015,stats,-0.04401717832069098,-0.06736048771311623,0.06452418302500387,0.18088806628810353
5157,Cap-Vert,2015,stats,-0.1425209262127369,-0.06736048771311623,0.06452418302500387,-0.582420690785772
5158,Chili,2015,stats,-0.08073685791352074,-0.06736048771311623,0.06452418302500387,-0.10365392921922786
5159,Chine,2015,stats,-0.029313177063489886,-0.06736048771311623,0.06452418302500387,0.29482985189353395
5160,Chypre,2015,stats,-0.04649498867969519,-0.06736048771311623,0.06452418302500387,0.1616874329531256
